arrival_time,priority_level,cpu_utilization,memory_utilization,num_threads,process_status,target_schedule
7.1608,2,0.0,0.02,3,3,1
7.17,3,0.0,0.14,6,3,1
7.1791,2,0.0,0.81,24,3,1
7.186,2,0.0,0.09,2,3,1
7.1903,2,0.0,0.01,2,3,1
7.1944,4,0.9,0.42,18,3,0
7.1986,2,0.0,0.13,10,3,1
7.204,2,0.0,0.14,8,3,1
7.208,2,0.0,0.01,2,3,1
7.2138,2,1.8,3.88,79,3,1
7.2216,2,0.0,0.22,23,3,1
7.2321,2,0.0,0.24,13,3,1
7.2393,2,0.0,0.05,6,3,1
7.2447,2,0.0,0.03,1,3,1
7.2489,0,0.0,0.09,28,3,2
7.2531,2,0.0,0.01,2,3,1
7.2585,1,0.0,0.09,16,3,2
7.263,2,0.0,0.09,9,3,1
7.2671,2,0.0,0.05,9,3,1
7.2743,2,0.0,0.03,2,3,1
7.2793,2,0.0,0.3,5,3,1
7.2832,3,0.0,0.09,21,3,1
7.2897,2,43.4,1.97,34,3,1
7.2934,2,0.0,0.35,24,3,1
7.298,2,0.0,0.21,8,3,1
7.3022,2,0.0,0.03,2,3,1
7.3071,2,72.6,0.25,7,3,0
7.3116,2,0.0,0.63,60,3,1
7.3163,2,0.0,0.04,4,3,1
7.322,2,0.0,0.73,31,1,1
7.3324,0,0.0,0.32,29,3,2
7.3457,2,0.0,0.26,31,3,1
7.3562,2,0.0,0.37,11,3,1
7.3615,2,0.0,0.0,38,1,1
7.3658,2,0.0,0.01,17,3,1
7.3721,2,0.0,0.13,11,3,1
7.3781,2,0.0,0.3,3,3,1
7.3823,2,0.9,0.43,48,3,1
7.3877,2,0.0,0.05,9,3,1
7.3931,2,0.0,0.05,9,3,1
7.3981,2,0.0,0.07,24,3,1
7.403,2,0.0,0.11,7,3,1
7.4081,2,0.0,0.19,2,3,1
7.4122,0,0.0,0.39,12,3,2
7.4169,2,0.0,0.06,8,3,1
7.4228,2,0.0,0.01,17,3,1
7.4268,2,0.0,0.04,3,3,1
7.4311,0,0.0,1.41,29,3,2
7.4356,2,0.0,0.04,4,3,1
7.442,0,0.0,0.16,29,3,2
7.4465,2,0.0,0.41,37,3,1
7.4503,2,0.0,0.01,2,3,1
7.4565,2,0.0,0.11,9,1,1
7.4616,2,0.0,0.32,20,3,1
7.4662,2,0.0,0.18,16,3,1
7.4729,2,0.0,0.07,2,3,1
7.4785,4,0.0,0.2,14,3,0
7.4853,2,1.8,0.22,6,3,1
7.4907,2,0.0,0.07,3,3,1
7.4958,2,0.0,0.95,16,1,1
7.5007,2,0.0,1.13,46,3,1
7.5056,2,0.0,2.49,27,3,1
7.5097,2,0.0,0.19,7,3,1
7.5156,2,0.0,0.03,4,3,1
7.5196,0,0.0,0.08,14,3,2
7.5252,2,0.0,0.07,8,3,1
7.5292,2,0.0,0.15,29,3,1
7.5344,4,0.0,0.07,3,3,0
7.5399,2,0.0,0.03,3,3,1
7.5447,2,0.9,0.3,11,3,1
7.5499,0,0.0,0.12,44,3,2
7.5561,2,0.0,0.14,11,3,1
7.5606,2,0.0,0.11,8,3,1
7.5644,2,0.0,0.19,26,3,1
7.5696,2,0.0,0.87,17,1,1
7.5746,2,0.9,0.04,5,3,1
7.5793,2,0.0,0.2,8,3,1
7.5842,2,0.0,0.03,2,3,1
7.5906,3,0.0,0.21,24,3,1
7.5962,2,0.0,0.05,9,3,1
7.6016,0,0.0,0.06,28,3,2
7.6078,2,0.0,0.08,5,3,1
7.6141,2,0.0,0.03,19,3,1
7.6205,2,0.0,0.11,10,3,1
7.6277,2,0.0,0.19,10,3,1
7.6324,2,0.0,0.44,5,3,1
7.6375,3,0.0,0.14,20,3,1
7.6428,2,0.0,0.3,15,3,1
7.6474,2,0.0,0.26,8,3,1
7.6535,2,0.0,0.05,2,3,1
7.6591,2,0.0,0.11,11,3,1
7.6648,2,0.0,0.02,19,3,1
7.672,2,0.0,0.15,53,3,1
7.6761,2,0.0,1.21,40,3,1
7.682,2,39.8,3.18,29,3,1
7.6882,2,0.0,0.07,8,3,1
7.6942,2,0.0,0.19,10,3,1
7.6983,2,0.0,0.24,8,3,1
7.7053,2,0.0,0.38,7,3,1
7.711,2,0.0,0.65,10,3,1
7.717,2,0.0,0.12,8,3,1
7.7244,3,0.0,0.73,23,3,1
7.734,2,0.0,3.12,11,3,1
7.7406,3,9.7,1.64,19,3,1
7.7453,2,0.0,0.09,6,3,1
7.7496,2,0.0,0.12,6,3,1
7.7548,2,0.0,0.12,6,3,1
7.7599,2,0.0,0.3,11,3,1
7.7666,0,0.0,0.13,29,3,2
7.7729,2,0.0,1.71,13,3,1
